,0,1
33,"白色,衣物,滴上,了,辣椒油,怎么,处理",query
34,"白色,衣物,滴上,了,辣椒油,怎么,洗",query
35,"白,衣服,上,的,辣椒油,怎么,洗",query
36,"白,衣服,滴上,了,辣椒油,怎么办",query
37,"白,衣服,滴上,了,辣椒油,怎么,处理",query
38,"白,衣服,滴上,了,辣椒油,怎么,洗",query
39,"浅色,纺织品,上,的,辣椒油,怎么,洗",query
40,"浅色,纺织品,滴上,了,辣椒油,怎么办",query
41,"浅色,纺织品,滴上,了,辣椒油,怎么,处理",query
42,"浅色,纺织品,滴上,了,辣椒油,怎么,洗",query
43,"浅色,衣物,上,的,辣椒油,怎么,洗",query
44,"浅色,衣物,滴上,了,辣椒油,怎么办",query
45,"浅色,衣物,滴上,了,辣椒油,怎么,处理",query
46,"浅色,衣物,滴上,了,辣椒油,怎么,洗",query
47,"浅色,衣服,上,的,辣椒油,怎么,洗",query
48,"浅色,衣服,滴上,了,辣椒油,怎么办",query
49,"浅色,衣服,滴上,了,辣椒油,怎么,处理",query
50,"浅色,衣服,滴上,了,辣椒油,怎么,洗",query
51,"浅色,服滴,上,了,辣椒油,怎么,处理",query
52,"需要,干洗,的,衣物,上,的,辣椒油,怎么,洗",query
53,"需要,干洗,的,衣物,滴上,了,辣椒油,怎么办",query
54,"需要,干洗,的,衣物,滴上,了,辣椒油,怎么,处理",query
55,"需要,干洗,的,衣物,滴上,了,辣椒油,怎么,洗",query
56,"毛衣,上,的,辣椒油,怎么,洗",query
57,"毛衣,滴上,了,辣椒油,怎么办",query
58,"毛衣,滴上,了,辣椒油,怎么,处理",query
59,"毛衣,滴上,了,辣椒油,怎么,洗",query
60,"羊绒衫,上,的,辣椒油,怎么,洗",query
61,"羊绒衫,滴上,了,辣椒油,怎么办",query
62,"羊绒衫,滴上,了,辣椒油,怎么,处理",query
63,"羊绒衫,滴上,了,辣椒油,怎么,洗",query
64,"羊毛衫,上,的,辣椒油,怎么,洗",query
65,"羊毛衫,滴上,了,辣椒油,怎么办",query
66,"羊毛衫,滴上,了,辣椒油,怎么,处理",query
67,"羊毛衫,滴上,了,辣椒油,怎么,洗",query
68,"毛料,西服,上,的,辣椒油,怎么,洗",query
69,"毛料,西服,滴上,了,辣椒油,怎么办",query
70,"毛料,西服,滴上,了,辣椒油,怎么,处理",query
71,"毛料,西服,滴上,了,辣椒油,怎么,洗",query
72,"毛料,西裤,上,的,辣椒油,怎么,洗",query
73,"毛料,西裤,滴上,了,辣椒油,怎么办",query
74,"毛料,西裤,滴上,了,辣椒油,怎么,处理",query
75,"毛料,西裤,滴上,了,辣椒油,怎么,洗",query
76,"羊毛,大衣,上,的,辣椒油,怎么,洗",query
77,"羊毛,大衣,滴上,了,辣椒油,怎么办",query
78,"羊毛,大衣,滴上,了,辣椒油,怎么,处理",query
79,"羊毛,大衣,滴上,了,辣椒油,怎么,洗",query
80,"丝绸,衣物,上,的,辣椒油,怎么,洗",query
81,"丝绸,衣物,滴上,了,辣椒油,怎么办",query
82,"丝绸,滴上,了,辣椒油,怎么,处理",query
83,"丝绸,衣物,滴上,了,辣椒油,怎么,洗",query
84,"丝绸,衣物,滴上,了,辣椒油,怎么,处理",query
85,"真丝,衣物,上,的,辣椒油,怎么,洗",query
86,"真丝,衣物,滴上,了,辣椒油,怎么办",query
87,"真丝,滴上,了,辣椒油,怎么,处理",query
88,"真丝,衣物,滴上,了,辣椒油,怎么,洗",query
89,"真丝,衣物,滴上,了,辣椒油,怎么,处理",query
90,"油画,棒,污渍,怎么,洗",query
91,"可,水洗,衣物,的,油画,棒,污渍,怎么,洗",query
92,"衣服,沾,上,了,油画,棒,怎么,清洗",query
93,"衣服,上,的,油画,棒,怎么,清洗",query
94,"衣服,上,的,油画,棒,怎么,处理",query
95,"衣服,沾,上,了,油画,棒,怎么办",query
96,"怎么,处理,油画,棒,污渍",query
97,"怎么,处理,衣服,上,的,油画,棒,污渍",query
98,"毛衣,沾,上,了,油画,棒,怎么,清洗",query
99,"毛衣,上,的,油画,棒,怎么,清洗",query
100,"毛衣,上,的,油画,棒,怎么,处理",query
101,"毛衣,沾,上,了,油画,棒,怎么办",query
102,"怎么,处理,毛衣,上,的,油画,棒,污渍",query
103,"羊绒衫,沾,上,了,油画,棒,怎么,清洗",query
104,"羊绒衫,上,的,油画,棒,怎么,清洗",query
105,"羊绒衫,上,的,油画,棒,怎么,处理",query
106,"羊绒衫,沾,上,了,油画,棒,怎么办",query
107,"怎么,处理,羊绒衫,上,的,油画,棒,污渍",query
108,"羊毛衫,沾,上,了,油画,棒,怎么,清洗",query
109,"羊毛衫,上,的,油画,棒,怎么,清洗",query
110,"羊毛衫,上,的,油画,棒,怎么,处理",query
111,"羊毛衫,沾,上,了,油画,棒,怎么办",query
112,"怎么,处理,羊毛衫,上,的,油画,棒,污渍",query
113,"毛料,西服,沾,上,了,油画,棒,怎么,清洗",query
114,"毛料,西服,上,的,油画,棒,怎么,清洗",query
115,"毛料,西服,上,的,油画,棒,怎么,处理",query
116,"毛料,西服,沾,上,了,油画,棒,怎么办",query
117,"怎么,处理,毛料,西服,上,的,油画,棒,污渍",query
118,"毛料,西裤,沾,上,了,油画,棒,怎么,清洗",query
119,"毛料,西裤,上,的,油画,棒,怎么,清洗",query
120,"毛料,西裤,上,的,油画,棒,怎么,处理",query
121,"毛料,西裤,沾,上,了,油画,棒,怎么办",query
122,"怎么,处理,毛料,西裤,上,的,油画,棒,污渍",query
123,"羊毛,大衣,沾,上,了,油画,棒,怎么,清洗",query
124,"羊毛,大衣,上,的,油画,棒,怎么,清洗",query
125,"羊毛,大衣,上,的,油画,棒,怎么,处理",query
126,"羊毛,大衣,沾,上,了,油画,棒,怎么办",query
127,"怎么,处理,羊毛,大衣,上,的,油画,棒,污渍",query
128,"丝绸,衣物,沾,上,了,油画,棒,怎么,清洗",query
129,"丝绸,衣物,上,的,油画,棒,怎么,清洗",query
130,"丝绸,衣物,上,的,油画,棒,怎么,处理",query
131,"丝绸,衣物,沾,上,了,油画,棒,怎么办",query
132,"怎么,处理,丝绸,衣物,上,的,油画,棒,污渍",query
133,"丝绸,沾,上,了,油画,棒,怎么,清洗",query
134,"丝绸,上,的,油画,棒,怎么,清洗",query
135,"丝绸,上,的,油画,棒,怎么,处理",query
136,"丝绸,沾,上,了,油画,棒,怎么办",query
137,"怎么,处理,丝绸,上,的,油画,棒,污渍",query
138,"真丝,衣物,沾,上,了,油画,棒,怎么,清洗",query
139,"真丝,衣物,上,的,油画,棒,污渍,怎么,清洗",query
140,"真丝,衣物,上,的,油画,棒,污渍,怎么,处理",query
141,"真丝,衣物,沾,上,了,油画,棒,污渍,怎么办",query
142,"怎么,处理,真丝,衣物,上,的,油画,棒,污渍",query
143,"巧克力,渍,怎么,洗",query
144,"巧克力,渍,怎么,洗",query
145,"可,水洗,衣物,的,巧克力,渍,怎么,洗",query
146,"衣服,沾,上,了,巧克力,怎么,清洗",query
147,"衣服,上,的,巧克力,渍,怎么,清洗",query
148,"衣服,上,的,巧克力,渍,怎么,处理",query
149,"衣服,沾,上,了,巧克力,怎么办",query
150,"怎么,处理,油画,巧克力,渍",query
151,"怎么,处理,衣服,上,的,巧克力,渍",query
152,"毛衣,沾,上,了,巧克力,怎么,清洗",query
153,"毛衣,上,的,巧克力,渍,怎么,清洗",query
154,"毛衣,上,的,巧克力,渍,怎么,处理",query
155,"毛衣,沾,上,了,巧克力,怎么办",query
156,"怎么,处理,毛衣,上,的,巧克力,渍",query
157,"羊绒衫,沾,上,了,巧克力,怎么,清洗",query
158,"羊绒衫,上,的,巧克力,渍,怎么,清洗",query
159,"羊绒衫,上,的,巧克力,渍,怎么,处理",query
160,"羊绒衫,沾,上,了,巧克力,渍,怎么办",query
161,"怎么,处理,羊绒衫,上,的,巧克力,渍",query
162,"羊毛衫,沾,上,了,巧克力,怎么,清洗",query
163,"羊毛衫,上,的,巧克力,渍,怎么,清洗",query
164,"羊毛衫,上,的,巧克力,渍,怎么,处理",query
165,"羊毛衫,沾,上,了,巧克力,渍,怎么办",query
166,"怎么,处理,羊毛衫,上,的,巧克力,渍",query
167,"毛料,西服,沾,上,了,巧克力,怎么,清洗",query
168,"毛料,西服,上,的,巧克力,怎么,清洗",query
169,"毛料,西服,上,的,巧克力,渍,怎么,处理",query
170,"毛料,西服,沾,上,了,巧克力,渍,怎么办",query
171,"怎么,处理,毛料,西服,上,的,巧克力,渍",query
172,"毛料,西裤,沾,上,了,巧克力,怎么,清洗",query
173,"毛料,西裤,上,的,巧克力,渍,怎么,清洗",query
174,"毛料,西裤,上,的,巧克力,渍,怎么,处理",query
175,"毛料,西裤,沾,上,了,巧克力,怎么办",query
176,"怎么,处理,毛料,西裤,上,的,巧克力,污渍",query
177,"怎么,处理,毛料,西裤,上,的,巧克力,渍",query
178,"羊毛,大衣,沾,上,了,巧克力,怎么,清洗",query
179,"羊毛,大衣,上,的,巧克力,渍,怎么,清洗",query
180,"羊毛,大衣,上,的,巧克力,渍,怎么,处理",query
181,"羊毛,大衣,沾,上,了,巧克力,怎么办",query
182,"怎么,处理,羊毛,大衣,上,的,巧克力,渍",query
183,"丝绸,衣物,沾,上,了,巧克力,怎么,清洗",query
184,"丝绸,衣物,上,的,巧克力,渍,怎么,清洗",query
185,"丝绸,衣物,上,的,巧克力,渍,怎么,处理",query
186,"丝绸,衣物,沾,上,了,巧克力,渍,怎么办",query
187,"怎么,处理,丝绸,衣物,上,的,巧克力,污渍",query
188,"丝绸,沾,上,了,巧克力,怎么,清洗",query
189,"丝绸,上,的,巧克力,渍,怎么,清洗",query
190,"丝绸,上,的,巧克力,渍,怎么,处理",query
191,"丝绸,沾,上,了,巧克力,渍,怎么办",query
192,"怎么,处理,丝绸,上,的,巧克力,渍",query
193,"真丝,衣物,沾,上,了,巧克力,渍,怎么,清洗",query
194,"真丝,衣物,上,的,巧克力,渍,怎么,清洗",query
195,"真丝,衣物,上,的,巧克力,渍,怎么,处理",query
196,"真丝,衣物,沾,上,了,巧克力,渍,怎么办",query
197,"怎么,处理,真丝,衣物,上,的,巧克力,污渍",query
198,"真丝,衣物,沾,上,了,巧克力,渍,怎么,解决",query
199,"豆瓣酱,怎么,洗",query
200,"衣服,上,的,豆瓣酱,怎么,洗",query
201,"衣服,滴上,了,豆瓣酱,怎么办",query
202,"羊毛,羊绒,类,衣物,滴上,了,豆瓣酱,怎么,处理",query
203,"羊毛,羊绒,类,衣物,上,的,豆瓣酱,怎么,洗",query
204,"羊毛,羊绒,类,衣物,滴上,了,豆瓣酱,怎么,洗",query
205,"羊毛,羊绒,类,衣物,滴上,了,豆瓣酱,怎么办",query
206,"羊毛,类,衣物,滴上,了,豆瓣酱,怎么,处理",query
207,"羊毛,类,衣物,上,的,豆瓣酱,怎么,洗",query
208,"羊毛,类,衣物,滴上,了,豆瓣酱,怎么办",query
209,"羊绒,类,衣物,滴上,了,豆瓣酱,怎么,处理",query
210,"羊绒,类,衣物,上,的,豆瓣酱,怎么,洗",query
211,"羊绒,类,衣物,滴上,了,豆瓣酱,怎么,洗",query
212,"羊绒,类,衣物,滴上,了,豆瓣酱,怎么办",query
213,"毛衣,滴上,了,豆瓣酱,怎么,处理",query
214,"毛衣,上,的,豆瓣酱,怎么,洗",query
215,"毛衣,滴上,了,豆瓣酱,怎么办",query
216,"毛衣,滴上,了,豆瓣酱,怎么,处理",query
217,"羊毛衫,上,的,豆瓣酱,怎么,洗",query
218,"羊毛衫,滴上,了,豆瓣酱,怎么,洗",query
219,"羊毛衫,滴上,了,豆瓣酱,怎么办",query
220,"羊毛衫,滴上,了,豆瓣酱,怎么,处理",query
221,"羊绒衫,上,的,豆瓣酱,怎么,洗",query
222,"羊绒衫,滴上,了,豆瓣酱,怎么,洗",query
223,"羊绒衫,滴上,了,豆瓣酱,怎么办",query
224,"羊绒衫,滴上,了,豆瓣酱,怎么,处理",query
225,"草渍,怎么,洗",query
226,"草渍,怎么,清洗",query
227,"草渍,怎么,处理",query
228,"衣服,上,的,草渍,怎么,洗",query
229,"衣服,沾,上,了,草渍,怎么办",query
230,"衣服,滴上,了,草渍,怎么办",query
231,"衣服,滴上,了,草渍,怎么,处理",query
232,"衣物,上,的,草渍,怎么,洗",query
233,"衣物,沾,上,了,草渍,怎么办",query
234,"衣物,滴上,了,草渍,怎么办",query
235,"衣物,滴上,了,草渍,怎么,处理",query
236,"辣椒酱,怎么,洗",query
237,"辣椒酱,怎么,洗",query
238,"衣服,上,的,辣椒酱,怎么,洗",query
239,"衣服,滴上,了,辣椒酱,怎么办",query
240,"羊毛,羊绒,类,衣物,滴上,了,辣椒酱,怎么,处理",query
241,"羊毛,羊绒,类,衣物,上,的,辣椒酱,怎么,洗",query
242,"羊毛,羊绒,类,衣物,滴上,了,辣椒酱,怎么,洗",query
243,"羊毛,羊绒,类,衣物,滴上,了,辣椒酱,怎么办",query
244,"羊毛,类,衣物,滴上,了,辣椒酱,怎么,处理",query
245,"羊毛,类,衣物,上,的,辣椒酱,怎么,洗",query
246,"羊毛,类,衣物,滴上,了,辣椒酱,怎么办",query
247,"羊绒,类,衣物,滴上,了,辣椒酱,怎么,处理",query
248,"羊绒,类,衣物,上,的,辣椒酱,怎么,洗",query
249,"羊绒,类,衣物,滴上,了,辣椒酱,怎么,洗",query
250,"羊绒,类,衣物,滴上,了,辣椒酱,怎么办",query
251,"毛衣,滴上,了,辣椒酱,怎么,处理",query
252,"毛衣,上,的,辣椒酱,怎么,洗",query
253,"毛衣,滴上,了,辣椒酱,怎么办",query
254,"毛衣,滴上,了,辣椒酱,怎么,处理",query
255,"羊毛衫,上,的,辣椒酱,怎么,洗",query
256,"羊毛衫,滴上,了,辣椒酱,怎么,洗",query
257,"羊毛衫,滴上,了,辣椒酱,怎么办",query
258,"羊毛衫,滴上,了,辣椒酱,怎么,处理",query
259,"羊绒衫,上,的,辣椒酱,怎么,洗",query
260,"羊绒衫,滴上,了,辣椒酱,怎么,洗",query
261,"羊绒衫,滴上,了,辣椒酱,怎么办",query
262,"羊绒衫,滴上,了,辣椒酱,怎么,处理",query
263,"酒渍,怎么,洗",query
264,"酒渍,怎么,清洗",query
265,"酒渍,怎么,处理",query
266,"衣服,上,的,酒渍,怎么,洗",query
267,"衣服,沾,上,了,酒渍,怎么办",query
268,"衣服,滴上,了,酒渍,怎么办",query
269,"衣服,滴上,了,酒渍,怎么,处理",query
270,"衣物,上,的,酒渍,怎么,洗",query
271,"衣物,沾,上,了,酒渍,怎么办",query
272,"衣物,滴上,了,酒渍,怎么办",query
273,"衣物,滴上,了,酒渍,怎么,处理",query
274,"白酒,渍,怎么,洗",query
275,"白酒,渍,怎么,清洗",query
276,"白酒,渍,怎么,处理",query
277,"衣服,上,的,白酒,渍,怎么,洗",query
278,"衣服,沾,上,了,白酒,渍,怎么办",query
279,"衣服,滴上,了,白酒,渍,怎么办",query
280,"衣服,滴上,了,白酒,渍,怎么,处理",query
281,"衣物,上,的,白酒,渍,怎么,洗",query
282,"衣物,沾,上,了,白酒,酒渍,怎么办",query
283,"衣物,滴上,了,白酒,渍,怎么办",query
284,"衣物,滴上,了,白酒,渍,怎么,处理",query
285,"白酒,渍,怎么,洗",query
286,"白酒,渍,怎么,清洗",query
287,"白酒,渍,怎么,处理",query
288,"衣服,上,的,白酒,渍,怎么,洗",query
289,"衣服,沾,上,了,白酒,渍,怎么办",query
290,"衣服,滴上,了,白酒,渍,怎么办",query
291,"衣服,滴上,了,白酒,渍,怎么,处理",query
292,"衣物,上,的,白酒,渍,怎么,洗",query
293,"衣物,沾,上,了,白酒,渍,怎么办",query
294,"衣物,滴上,了,白酒,渍,怎么办",query
295,"衣物,滴上,了,白酒,渍,怎么,处理",query
296,"白酒,怎么,洗",query
297,"白酒,怎么,清洗",query
298,"白酒,怎么,处理",query
299,"衣服,上,的,白酒,怎么,洗",query
300,"衣服,沾,上,了,白酒,怎么办",query
301,"衣服,滴上,了,白酒,怎么办",query
302,"衣服,滴上,了,白酒,怎么,处理",query
303,"衣服,上,沾,了,白酒,怎么办",query
304,"衣服,上,沾,了,白酒,怎么办",query
305,"衣服,上,沾,了,白酒,怎么,处理",query
306,"衣物,上,的,白酒,怎么,洗",query
307,"衣物,沾,上,了,白酒,怎么办",query
308,"衣物,滴上,了,白酒,怎么办",query
309,"衣物,滴上,了,白酒,怎么,处理",query
310,"干洗,类,衣物,上,的,白酒,怎么,洗",query
311,"干洗,类,衣物,沾,上,了,白酒,怎么办",query
312,"干洗,类,衣物,滴上,了,白酒,怎么办",query
313,"干洗,类,衣物,滴上,了,白酒,怎么,处理",query
314,"羊绒衫,沾,上,了,白酒,怎么,清洗",query
315,"羊绒衫,上,的,白酒,渍,怎么,清洗",query
316,"羊绒衫,上,的,白酒,渍,怎么,处理",query
317,"羊绒衫,沾,上,了,白酒,渍,怎么办",query
318,"怎么,处理,羊绒衫,上,的,白酒,渍",query
319,"怎么,处理,羊绒衫,上,的,白酒,渍",query
320,"羊毛衫,沾,上,了,白酒,渍,怎么,清洗",query
321,"羊毛衫,上,的,白酒,渍,怎么,清洗",query
322,"羊毛衫,上,的,白酒,渍,怎么,处理",query
323,"羊毛衫,沾,上,了,白酒,渍,怎么办",query
324,"怎么,处理,羊毛衫,上,的,白酒,渍",query
325,"怎么,处理,羊毛衫,上,的,白酒,渍",query
326,"毛料,西服,沾,上,了,白酒,渍,怎么,清洗",query
327,"毛料,西服,上,的,白酒,渍,怎么,清洗",query
328,"毛料,西服,上,的,白酒,渍,怎么,处理",query
329,"毛料,西服,沾,上,了,白酒,渍,怎么办",query
330,"怎么,处理,毛料,西服,上,的,白酒,渍",query
331,"怎么,处理,毛料,西服,上,的,白酒,渍",query
332,"毛料,西裤,沾,上,了,白酒,渍,怎么,清洗",query
333,"毛料,西裤,上,的,白酒,渍,怎么,清洗",query
334,"毛料,西裤,上,的,白酒,渍,怎么,处理",query
335,"毛料,西裤,沾,上,了,白酒,渍,怎么办",query
336,"怎么,处理,毛料,西裤,上,的,白酒,污渍",query
337,"怎么,处理,毛料,西裤,上,的,白酒,渍",query
338,"羊毛,大衣,沾,上,了,白酒,渍,怎么,清洗",query
339,"羊毛,大衣,上,的,白酒,渍,怎么,清洗",query
340,"羊毛,大衣,上,的,白酒,渍,怎么,处理",query
341,"羊毛,大衣,沾,上,了,白酒,怎么办",query
342,"怎么,处理,羊毛,大衣,上,的,白酒,渍",query
343,"怎么,处理,羊毛,大衣,上,的,白酒,渍",query
344,"丝绸,衣物,沾,上,了,白酒,怎么,清洗",query
345,"丝绸,衣物,上,的,白酒,渍,怎么,清洗",query
346,"丝绸,衣物,上,的,白酒,渍,怎么,处理",query
347,"丝绸,衣物,沾,上,了,白酒,渍,怎么办",query
348,"怎么,处理,丝绸,衣物,上,的,白酒,渍",query
349,"怎么,处理,丝绸,衣物,上,的,白酒,渍",query
350,"丝绸,沾,上,了,白酒,渍,怎么,清洗",query
351,"丝绸,上,的,白酒,渍,怎么,清洗",query
352,"丝绸,上,的,白酒,渍,怎么,处理",query
353,"丝绸,沾,上,了,白酒,渍,怎么办",query
354,"怎么,处理,丝绸,上,的,白酒,渍",query
355,"怎么,处理,丝绸,上,的,白酒,渍",query
356,"真丝,衣物,沾,上,了,白酒,渍,怎么,清洗",query
357,"真丝,衣物,上,的,白酒,渍,怎么,清洗",query
358,"真丝,衣物,上,的,白酒,渍,怎么,处理",query
359,"真丝,衣物,沾,上,了,白酒,渍,怎么办",query
360,"怎么,处理,真丝,衣物,上,的,白酒,渍",query
361,"怎么,处理,真丝,衣物,上,的,白酒,渍",query
362,"红酒,渍,怎么,洗",query
363,"红酒,渍,怎么,清洗",query
364,"红酒,渍,怎么,处理",query
365,"衣服,上,的,红酒,渍,怎么,洗",query
366,"衣服,沾,上,了,红酒,渍,怎么办",query
367,"衣服,滴上,了,红酒,渍,怎么办",query
368,"衣服,滴上,了,红酒,渍,怎么,处理",query
369,"衣物,上,的,红酒,渍,怎么,洗",query
370,"衣物,沾,上,了,红酒,酒渍,怎么办",query
371,"衣物,滴上,了,红酒,渍,怎么办",query
372,"衣物,滴上,了,红酒,渍,怎么,处理",query
373,"衣物,上,的,红酒,渍,怎么,洗",query
374,"衣物,沾,上,了,红酒,渍,怎么办",query
375,"衣物,滴上,了,红酒,渍,怎么办",query
376,"衣物,滴上,了,红酒,渍,怎么,处理",query
377,"红酒,怎么,洗",query
378,"红酒,怎么,清洗",query
379,"红酒,怎么,处理",query
380,"衣服,上,的,红酒,怎么,洗",query
381,"衣服,沾,上,了,红酒,怎么办",query
382,"衣服,滴上,了,红酒,怎么办",query
383,"衣服,滴上,了,红酒,怎么,处理",query
384,"衣服,上,沾,了,红酒,怎么办",query
385,"衣服,上,沾,了,红酒,怎么办",query
386,"衣服,上,沾,了,红酒,怎么,处理",query
387,"衣物,上,的,红酒,怎么,洗",query
388,"衣物,沾,上,了,红酒,怎么办",query
389,"衣物,滴上,了,红酒,怎么办",query
390,"衣物,滴上,了,红酒,怎么,处理",query
391,"干洗,类,衣物,上,的,红酒,怎么,洗",query
392,"干洗,类,衣物,沾,上,了,红酒,怎么办",query
393,"干洗,类,衣物,滴上,了,红酒,怎么办",query
394,"干洗,类,衣物,滴上,了,红酒,怎么,处理",query
395,"羊绒衫,沾,上,了,红酒,怎么,清洗",query
396,"羊绒衫,上,的,红酒,渍,怎么,清洗",query
397,"羊绒衫,上,的,红酒,渍,怎么,处理",query
398,"羊绒衫,沾,上,了,红酒,渍,怎么办",query
399,"怎么,处理,羊绒衫,上,的,红酒,渍",query
400,"怎么,处理,羊绒衫,上,的,红酒,渍",query
401,"羊毛衫,沾,上,了,红酒,渍,怎么,清洗",query
402,"羊毛衫,上,的,红酒,渍,怎么,清洗",query
403,"羊毛衫,上,的,红酒,渍,怎么,处理",query
404,"羊毛衫,沾,上,了,红酒,渍,怎么办",query
405,"怎么,处理,羊毛衫,上,的,红酒,渍",query
406,"怎么,处理,羊毛衫,上,的,红酒,渍",query
407,"毛料,西服,沾,上,了,红酒,渍,怎么,清洗",query
408,"毛料,西服,上,的,红酒,渍,怎么,清洗",query
409,"毛料,西服,上,的,红酒,渍,怎么,处理",query
410,"毛料,西服,沾,上,了,红酒,渍,怎么办",query
411,"怎么,处理,毛料,西服,上,的,红酒,渍",query
412,"怎么,处理,毛料,西服,上,的,红酒,渍",query
413,"毛料,西裤,沾,上,了,红酒,渍,怎么,清洗",query
414,"毛料,西裤,上,的,红酒,渍,怎么,清洗",query
415,"毛料,西裤,上,的,红酒,渍,怎么,处理",query
416,"毛料,西裤,沾,上,了,红酒,渍,怎么办",query
417,"怎么,处理,毛料,西裤,上,的,红酒,污渍",query
418,"怎么,处理,毛料,西裤,上,的,红酒,渍",query
419,"羊毛,大衣,沾,上,了,红酒,渍,怎么,清洗",query
420,"羊毛,大衣,上,的,红酒,渍,怎么,清洗",query
421,"羊毛,大衣,上,的,红酒,渍,怎么,处理",query
422,"羊毛,大衣,沾,上,了,红酒,怎么办",query
423,"怎么,处理,羊毛,大衣,上,的,红酒,渍",query
424,"怎么,处理,羊毛,大衣,上,的,红酒,渍",query
425,"丝绸,衣物,沾,上,了,红酒,怎么,清洗",query
426,"丝绸,衣物,上,的,红酒,渍,怎么,清洗",query
427,"丝绸,衣物,上,的,红酒,渍,怎么,处理",query
428,"丝绸,衣物,沾,上,了,红酒,渍,怎么办",query
429,"怎么,处理,丝绸,衣物,上,的,红酒,渍",query
430,"怎么,处理,丝绸,衣物,上,的,红酒,渍",query
431,"丝绸,沾,上,了,红酒,渍,怎么,清洗",query
432,"丝绸,上,的,红酒,渍,怎么,清洗",query
433,"丝绸,上,的,红酒,渍,怎么,处理",query
434,"丝绸,沾,上,了,红酒,渍,怎么办",query
435,"怎么,处理,丝绸,上,的,红酒,渍",query
436,"怎么,处理,丝绸,上,的,红酒,渍",query
437,"真丝,衣物,沾,上,了,红酒,渍,怎么,清洗",query
438,"真丝,衣物,上,的,红酒,渍,怎么,清洗",query
439,"真丝,衣物,上,的,红酒,渍,怎么,处理",query
440,"真丝,衣物,沾,上,了,红酒,渍,怎么办",query
441,"怎么,处理,真丝,衣物,上,的,红酒,渍",query
442,"怎么,处理,真丝,衣物,上,的,红酒,渍",query
443,"啤酒,渍,怎么,洗",query
444,"啤酒,渍,怎么,清洗",query
445,"啤酒,渍,怎么,处理",query
446,"衣服,上,的,啤酒,渍,怎么,洗",query
447,"衣服,沾,上,了,啤酒,渍,怎么办",query
448,"衣服,滴上,了,啤酒,渍,怎么办",query
449,"衣服,滴上,了,啤酒,渍,怎么,处理",query
450,"衣物,上,的,啤酒,渍,怎么,洗",query
451,"衣物,沾,上,了,啤酒,酒渍,怎么办",query
452,"衣物,滴上,了,啤酒,渍,怎么办",query
453,"衣物,滴上,了,啤酒,渍,怎么,处理",query
454,"啤酒,怎么,洗",query
455,"啤酒,怎么,清洗",query
456,"啤酒,怎么,处理",query
457,"衣服,上,的,啤酒,怎么,洗",query
458,"衣服,沾,上,了,啤酒,怎么办",query
459,"衣服,滴上,了,啤酒,怎么办",query
460,"衣服,滴上,了,啤酒,怎么,处理",query
461,"衣服,上,沾,了,啤酒,怎么办",query
462,"衣服,上,沾,了,啤酒,怎么办",query
463,"衣服,上,沾,了,啤酒,怎么,处理",query
464,"衣物,上,的,啤酒,怎么,洗",query
465,"衣物,沾,上,了,啤酒,怎么办",query
466,"衣物,滴上,了,啤酒,怎么办",query
467,"衣物,滴上,了,啤酒,怎么,处理",query
468,"干洗,类,衣物,上,的,啤酒,怎么,洗",query
469,"干洗,类,衣物,沾,上,了,啤酒,怎么办",query
470,"干洗,类,衣物,滴上,了,啤酒,怎么办",query
471,"干洗,类,衣物,滴上,了,啤酒,怎么,处理",query
472,"羊绒衫,沾,上,了,啤酒,怎么,清洗",query
